esp_abeast_id,serial_port,chip,threshold,dac,hits_per_s,count0,count1,dt_s,mu_est,sigma_est,r2_est
2,COM6,1,1,127,8.995081158126764,0,90,10.005468368530273,176,27,-6.504833719155386
2,COM6,1,1,126,6.596564656215055,0,66,10.005207777023315,176,28,-6.105242101812714
2,COM6,1,1,125,7.895625342432671,0,79,10.005540609359741,175,28,-6.043296640586378
2,COM6,1,1,124,6.696331015037142,0,67,10.005479097366333,175,28,-5.728944483709663
2,COM6,1,1,123,8.594780801129227,0,86,10.006072521209717,174,28,-5.783348688012295
2,COM6,1,1,122,7.396004965579506,0,74,10.005401611328125,174,29,-5.652885496929234
2,COM6,1,1,121,7.095803222881555,0,71,10.005914449691772,174,29,-5.4748855354421915
2,COM6,1,1,120,8.094748637427701,0,81,10.006487369537354,173,29,-5.476516998767763
2,COM6,1,1,119,7.595951111817196,0,76,10.005330324172974,173,29,-5.406806917325362
2,COM6,1,1,118,6.895966135760763,0,69,10.005849599838257,172,30,-5.219594577156044
2,COM6,1,1,117,6.596406838725939,0,66,10.005447149276733,172,30,-4.992043636778049
2,COM6,1,1,116,6.396510387642621,0,64,10.005455493927002,172,30,-4.749029796343677
2,COM6,1,1,115,6.296785629341368,0,63,10.005104780197144,171,30,-4.512734919343558
2,COM6,1,1,114,6.396240003263462,0,64,10.005878448486328,171,31,-4.316711301100027
2,COM6,1,1,113,5.796894173482263,0,58,10.00535774230957,170,31,-4.0428498959528145
2,COM6,1,1,112,4.796731391432321,0,48,10.006814241409302,170,31,-3.636103643943377
2,COM6,1,1,111,5.19704766143253,0,52,10.005680799484253,170,31,-3.352096086994396
2,COM6,1,1,110,5.096975819105285,0,51,10.005933284759521,170,32,-3.091506945656076
2,COM6,1,1,109,4.597411101989319,0,46,10.0056312084198,169,32,-2.8040144985731583
2,COM6,1,1,108,4.9970335688869545,0,50,10.00593638420105,169,32,-2.5990385986097913
2,COM6,1,1,107,3.797941889257409,0,38,10.0054190158844,169,32,-2.2990499749140842
2,COM6,1,1,106,4.997303391274102,0,50,10.005396127700806,168,32,-2.1489004495674
2,COM6,1,1,105,4.797361756651904,0,48,10.005499362945557,168,33,-1.9995166656738514
2,COM6,1,1,104,5.297276912033549,0,53,10.005140542984009,168,33,-1.8997967182428694
2,COM6,1,1,103,4.1974205847842025,0,42,10.006145238876343,168,33,-1.7372061781091515
2,COM6,1,1,102,4.297619062086446,0,43,10.005540132522583,167,33,-1.600039081191829
2,COM6,1,1,101,4.497667687601916,0,45,10.005185604095459,167,33,-1.4890998574570018
2,COM6,1,1,100,4.2971839809679775,0,43,10.006553173065186,167,34,-1.378915006424334
2,COM6,1,1,99,2.9982640780241314,0,30,10.005789756774902,167,34,-1.214637820480906
2,COM6,1,1,98,3.897828841799951,0,39,10.00557017326355,166,34,-1.1131890287922426
2,COM6,1,1,97,3.69782581133048,0,37,10.005879640579224,166,34,-1.0141030437356746
2,COM6,1,1,96,4.597466644070678,0,46,10.005510330200195,166,34,-0.9581873153905927
2,COM6,1,1,95,2.1986101639297857,0,22,10.006321430206299,166,34,-0.8204886999742991
2,COM6,1,1,94,2.398447926673275,0,24,10.006471157073975,166,35,-0.708549060149209
2,COM6,1,1,93,2.598632502160366,0,26,10.00526237487793,165,35,-0.616412452397181
2,COM6,1,1,92,3.198193388081936,0,32,10.005648851394653,165,35,-0.5503764004278051
2,COM6,1,1,91,1.8989740216659314,0,19,10.00540280342102,165,35,-0.4586427192628968
2,COM6,1,1,90,1.5990114220336733,0,16,10.006182432174683,165,35,-0.3712862415926679
2,COM6,1,1,89,2.0988512699662842,0,21,10.005473136901855,165,35,-0.30444743960849685
2,COM6,1,1,88,2.198599948739269,0,22,10.006367921829224,165,35,-0.24631936369625973
2,COM6,1,1,87,1.5991195948199373,0,16,10.005505561828613,164,35,-0.1838435543565129
2,COM6,1,1,86,1.598988714846641,0,16,10.006324529647827,164,36,-0.1279267912147759
2,COM6,1,1,85,1.4991658679518607,0,15,10.005563974380493,164,36,-0.07623089603762145
