chip,threshold,dac,hits_per_s,count0,count1,dt_s,mu_est,sigma_est,r2_est
2,1,252,66855.88023199726,6893853,7563127,10.010697603225708,,,
2,1,251,71877.035033249,7566405,8285959,10.010902643203735,253,1,-115.3220217645577
2,1,250,78850.0452553332,8289495,9078714,10.00911283493042,252,2,-29.49457327255803
2,1,249,95275.6702049437,9083031,10036703,10.009606838226318,252,2,-7.4818011867591085
2,1,248,128614.51616687179,10042253,11329751,10.010518550872803,251,2,-3.094335514945544
2,1,247,167759.45310738822,11337256,13016581,10.010315179824829,250,3,-2.1315708496824253
2,1,246,152125.93166468543,13023814,14546697,10.01067328453064,250,3,-1.1986920773468213
2,1,245,129742.38006090028,14553694,15852437,10.010167837142944,249,3,-0.7681383238174035
2,1,244,116520.63720637673,15858136,247349,10.01049280166626,248,3,-0.4633022442116117
2,1,243,100942.2014753628,252047,1262451,10.009728193283081,248,3,-0.2177715425194524
2,1,242,88140.26337960358,1267551,2149843,10.010090351104736,248,4,-0.012384128982785292
2,1,241,70486.6538954981,2153201,2858790,10.010249614715576,247,4,0.178682707468533
2,1,240,54489.81184213933,2861519,3406953,10.00983452796936,247,4,0.3436189181674545
2,1,239,41277.33254810001,3409031,3822217,10.009997606277466,247,4,0.4694410334037855
2,1,238,29385.915377019734,3823790,4117940,10.009897470474243,247,4,0.5611548627370597
2,1,237,18045.726938148964,4118912,4299551,10.010070562362671,247,4,0.6307649482444035
2,1,236,11326.818778490026,4300171,4413548,10.00960659980774,247,4,0.6808786658756043
2,1,235,5455.046114677547,4413905,4468511,10.010181188583374,246,5,0.7207024142609687
2,1,234,3090.0898002860813,4468765,4499697,10.010065078735352,246,5,0.750651405837888
2,1,233,1582.0216762294335,4499815,4515651,10.009976625442505,246,5,0.7740309308025928
2,1,232,849.4530186011572,4515714,4524217,10.009970903396606,246,5,0.7924581587846
2,1,231,305.4970088464974,4524258,4527316,10.009917974472046,246,5,0.8075178298286201
2,1,230,152.1605876154548,4527338,4528861,10.009162187576294,246,5,0.8197429857177446
2,1,229,69.83215417188396,4528879,4529578,10.009715557098389,246,5,0.829841593234292
2,1,228,28.072343316780664,4529595,4529876,10.009851932525635,246,5,0.8383061637369331
2,1,227,11.888171644709658,4529889,4530008,10.009949684143066,246,5,0.8454838952198198
2,1,226,5.794000867136526,4530022,4530080,10.010354042053223,246,5,0.8516387264962284
2,1,225,3.3966343040868723,4530089,4530123,10.00990891456604,246,5,0.8569712898678454
2,1,224,1.298673151956063,4530136,4530149,10.01021695137024,246,5,0.8616371506024247
2,1,223,1.4985991935733978,4530159,4530174,10.009347438812256,246,5,0.8657501073991447
