source,analysis_mode,chip,threshold,dac,hits_per_s,mu_user_dac,target_hits_requested,target_dac_for_hits,target_hits_found,n_sigma_from_mu,sigma_ref
noise_scan_raw,gaussian,2,1,234,3090.0898002860813,247,2.0,224,1.298673151956063,4.6,5.0
noise_scan_raw,gaussian,2,1,233,1582.0216762294335,247,2.0,224,1.298673151956063,4.6,5.0
noise_scan_raw,gaussian,2,1,232,849.4530186011572,247,2.0,224,1.298673151956063,4.6,5.0
noise_scan_raw,gaussian,2,1,231,305.4970088464974,247,2.0,224,1.298673151956063,4.6,5.0
noise_scan_raw,gaussian,2,1,230,152.1605876154548,247,2.0,224,1.298673151956063,4.6,5.0
noise_scan_raw,gaussian,2,1,229,69.83215417188396,247,2.0,224,1.298673151956063,4.6,5.0
noise_scan_raw,gaussian,2,1,228,28.072343316780664,247,2.0,224,1.298673151956063,4.6,5.0
noise_scan_raw,gaussian,2,1,227,11.888171644709658,247,2.0,224,1.298673151956063,4.6,5.0
noise_scan_raw,gaussian,2,1,226,5.794000867136526,247,2.0,224,1.298673151956063,4.6,5.0
noise_scan_raw,gaussian,2,1,225,3.3966343040868723,247,2.0,224,1.298673151956063,4.6,5.0
noise_scan_raw,gaussian,2,1,224,1.298673151956063,247,2.0,224,1.298673151956063,4.6,5.0
noise_scan_raw,gaussian,2,1,223,1.4985991935733978,247,2.0,224,1.298673151956063,4.6,5.0
noise_scan_raw,gaussian,2,1,222,0.7991870376075134,247,2.0,224,1.298673151956063,4.6,5.0
noise_scan_raw,gaussian,2,1,221,0.9989687359976778,247,2.0,224,1.298673151956063,4.6,5.0
noise_scan_raw,gaussian,2,1,220,0.4994868186598656,247,2.0,224,1.298673151956063,4.6,5.0
noise_scan_raw,gaussian,2,1,219,0.8991001076098094,247,2.0,224,1.298673151956063,4.6,5.0
noise_scan_raw,gaussian,2,1,218,0.5993776727135419,247,2.0,224,1.298673151956063,4.6,5.0
noise_scan_raw,gaussian,2,1,217,0.3996126686708416,247,2.0,224,1.298673151956063,4.6,5.0
noise_scan_raw,gaussian,2,1,216,0.39961813223981446,247,2.0,224,1.298673151956063,4.6,5.0
noise_scan_raw,gaussian,2,1,215,0.5993885365318984,247,2.0,224,1.298673151956063,4.6,5.0
noise_scan_raw,gaussian,2,1,214,0.19980013812553418,247,2.0,224,1.298673151956063,4.6,5.0
noise_scan_raw,gaussian,2,1,213,0.6993295659578522,247,2.0,224,1.298673151956063,4.6,5.0
noise_scan_raw,gaussian,2,1,212,0.39959212927249876,247,2.0,224,1.298673151956063,4.6,5.0
noise_scan_raw,gaussian,2,1,211,0.399599705190342,247,2.0,224,1.298673151956063,4.6,5.0
noise_scan_raw,gaussian,2,1,210,0.39960508274353024,247,2.0,224,1.298673151956063,4.6,5.0
noise_scan_raw,gaussian,2,1,209,0.09988898693949705,247,2.0,224,1.298673151956063,4.6,5.0
noise_scan_raw,gaussian,2,1,208,0.1997893123370652,247,2.0,224,1.298673151956063,4.6,5.0
noise_scan_raw,gaussian,2,1,207,0.29969357588287027,247,2.0,224,1.298673151956063,4.6,5.0
noise_scan_raw,gaussian,2,1,206,0.39960566333757536,247,2.0,224,1.298673151956063,4.6,5.0
noise_scan_raw,gaussian,2,1,205,0.299719224744352,247,2.0,224,1.298673151956063,4.6,5.0
noise_scan_raw,gaussian,2,1,204,0.1998098228469402,247,2.0,224,1.298673151956063,4.6,5.0
