adc;energy_eV;energy_MeV;fit_a_eV_per_ADC;fit_b_eV
1547.415960;561250.618602;0.561250619;301.805063948065;94232.645876
1559.988036;565044.934920;0.565044935;301.805063948065;94232.645876
1572.560113;568839.251239;0.568839251;301.805063948065;94232.645876
1585.132189;572633.567557;0.572633568;301.805063948065;94232.645876
1597.704265;576427.883876;0.576427884;301.805063948065;94232.645876
1610.276342;580222.200194;0.580222200;301.805063948065;94232.645876
1622.848418;584016.516512;0.584016517;301.805063948065;94232.645876
1635.420495;587810.832831;0.587810833;301.805063948065;94232.645876
1647.992571;591605.149149;0.591605149;301.805063948065;94232.645876
1660.564647;595399.465468;0.595399465;301.805063948065;94232.645876
1673.136724;599193.781786;0.599193782;301.805063948065;94232.645876
1685.708800;602988.098104;0.602988098;301.805063948065;94232.645876
1698.280877;606782.414423;0.606782414;301.805063948065;94232.645876
1710.852953;610576.730741;0.610576731;301.805063948065;94232.645876
1723.425029;614371.047060;0.614371047;301.805063948065;94232.645876
1735.997106;618165.363378;0.618165363;301.805063948065;94232.645876
1748.569182;621959.679696;0.621959680;301.805063948065;94232.645876
1761.141258;625753.996015;0.625753996;301.805063948065;94232.645876
1773.713335;629548.312333;0.629548312;301.805063948065;94232.645876
1786.285411;633342.628652;0.633342629;301.805063948065;94232.645876
1798.857488;637136.944970;0.637136945;301.805063948065;94232.645876
1811.429564;640931.261288;0.640931261;301.805063948065;94232.645876
1824.001640;644725.577607;0.644725578;301.805063948065;94232.645876
1836.573717;648519.893925;0.648519894;301.805063948065;94232.645876
1849.145793;652314.210244;0.652314210;301.805063948065;94232.645876
1861.717870;656108.526562;0.656108527;301.805063948065;94232.645876
1874.289946;659902.842880;0.659902843;301.805063948065;94232.645876
1886.862022;663697.159199;0.663697159;301.805063948065;94232.645876
1899.434099;667491.475517;0.667491476;301.805063948065;94232.645876
1912.006175;671285.791835;0.671285792;301.805063948065;94232.645876
1924.578252;675080.108154;0.675080108;301.805063948065;94232.645876
1937.150328;678874.424472;0.678874424;301.805063948065;94232.645876
1949.722404;682668.740791;0.682668741;301.805063948065;94232.645876
1962.294481;686463.057109;0.686463057;301.805063948065;94232.645876
1974.866557;690257.373427;0.690257373;301.805063948065;94232.645876
1987.438633;694051.689746;0.694051690;301.805063948065;94232.645876
2000.010710;697846.006064;0.697846006;301.805063948065;94232.645876
2012.582786;701640.322383;0.701640322;301.805063948065;94232.645876
2025.154863;705434.638701;0.705434639;301.805063948065;94232.645876
2037.726939;709228.955019;0.709228955;301.805063948065;94232.645876
2050.299015;713023.271338;0.713023271;301.805063948065;94232.645876
2062.871092;716817.587656;0.716817588;301.805063948065;94232.645876
2075.443168;720611.903975;0.720611904;301.805063948065;94232.645876
2088.015245;724406.220293;0.724406220;301.805063948065;94232.645876
2100.587321;728200.536611;0.728200537;301.805063948065;94232.645876
2113.159397;731994.852930;0.731994853;301.805063948065;94232.645876
2125.731474;735789.169248;0.735789169;301.805063948065;94232.645876
2138.303550;739583.485567;0.739583486;301.805063948065;94232.645876
2150.875627;743377.801885;0.743377802;301.805063948065;94232.645876
2163.447703;747172.118203;0.747172118;301.805063948065;94232.645876
2176.019779;750966.434522;0.750966435;301.805063948065;94232.645876
2188.591856;754760.750840;0.754760751;301.805063948065;94232.645876
2201.163932;758555.067159;0.758555067;301.805063948065;94232.645876
2213.736008;762349.383477;0.762349383;301.805063948065;94232.645876
2226.308085;766143.699795;0.766143700;301.805063948065;94232.645876
2238.880161;769938.016114;0.769938016;301.805063948065;94232.645876
2251.452238;773732.332432;0.773732332;301.805063948065;94232.645876
2264.024314;777526.648750;0.777526649;301.805063948065;94232.645876
2276.596390;781320.965069;0.781320965;301.805063948065;94232.645876
2289.168467;785115.281387;0.785115281;301.805063948065;94232.645876
2301.740543;788909.597706;0.788909598;301.805063948065;94232.645876
2314.312620;792703.914024;0.792703914;301.805063948065;94232.645876
2326.884696;796498.230342;0.796498230;301.805063948065;94232.645876
2339.456772;800292.546661;0.800292547;301.805063948065;94232.645876
2352.028849;804086.862979;0.804086863;301.805063948065;94232.645876
2364.600925;807881.179298;0.807881179;301.805063948065;94232.645876
2377.173002;811675.495616;0.811675496;301.805063948065;94232.645876
2389.745078;815469.811934;0.815469812;301.805063948065;94232.645876
2402.317154;819264.128253;0.819264128;301.805063948065;94232.645876
2414.889231;823058.444571;0.823058445;301.805063948065;94232.645876
2427.461307;826852.760890;0.826852761;301.805063948065;94232.645876
2440.033383;830647.077208;0.830647077;301.805063948065;94232.645876
2452.605460;834441.393526;0.834441394;301.805063948065;94232.645876
2465.177536;838235.709845;0.838235710;301.805063948065;94232.645876
2477.749613;842030.026163;0.842030026;301.805063948065;94232.645876
2490.321689;845824.342482;0.845824342;301.805063948065;94232.645876
2502.893765;849618.658800;0.849618659;301.805063948065;94232.645876
2515.465842;853412.975118;0.853412975;301.805063948065;94232.645876
2528.037918;857207.291437;0.857207291;301.805063948065;94232.645876
2540.609995;861001.607755;0.861001608;301.805063948065;94232.645876
2553.182071;864795.924074;0.864795924;301.805063948065;94232.645876
2565.754147;868590.240392;0.868590240;301.805063948065;94232.645876
2578.326224;872384.556710;0.872384557;301.805063948065;94232.645876
2590.898300;876178.873029;0.876178873;301.805063948065;94232.645876
2603.470377;879973.189347;0.879973189;301.805063948065;94232.645876
2616.042453;883767.505666;0.883767506;301.805063948065;94232.645876
